name,mascot,city,state,primary_color,secondary_color,team_logo_image
Bishop-England,Battlin Bishops,Daniel Island,SC,#4CBB17,#FFFFFF,
Bishop-Gorman,Gauls,Las Vegas,NV,#0033A0,#FF6600,
Bixby,Spartans,Bixby,OK,,,
Blackwell,Hornets,Blackwell,TX,#007A5E,#FFFFFF,
Blanchard,Lions,,OK,,,
Blanco,Panthers,Blanco,TX,#0000FF,#FFD700,
Blanket,Tigers,Blanket,TX,,,
Block,Bears,Jonesville,LA,,,
Blooming Grove,Lions,Blooming Grove,TX,#1F4FBF,#FFFFFF,
Bloomington,Bobcats,Bloomington,TX,,,
Blue Ridge,Tigers,Blue Ridge,TX,#1B5E20,#FFFFFF,
Bluejacket,,,OK,,,
Bluff Dale,Bobcats,Bluff Dale,TX,#1F7A3A,#FFFFFF,
Boerne,Grayhounds,Boerne,TX,#e6e6fa,#FFFFFF,
Bogalusa,Lumberjacks,Bogalusa,LA,,,
Bogota Rivercrest,Rebels,,TX,,,
Boise City,,,OK,,,
Boles,Hornets,Quinlan,TX,,,
Boles,Hornets,Quinlan,TX,,,
Boling,Bulldogs,Boling,TX,#12A06E,#AAADBE,
Bolton Academy,Bears,Alexandria,LA,,,
Bonham,Purple Warriors,Bonham,TX,,,
Booker,Kiowas,Booker,TX,,,
Booker T Washington,,,OK,,,
Booker T Washington,Lions,Shreveport,LA,,,
Borden County,Coyotes,,TX,,,
Borger,Bulldogs,Borger,TX,#E2231A,#FFFFFF,
Bosqueville,Bulldogs,Bosqueville,TX,#000000,#6CB4EE,
Bossier,Bearkats,Bossier City,LA,,,
Boswell,Pioneers,Saginaw,TX,#03329F,#8F96B4,
Bovina,Mustangs,Bovina,TX,,,
Bowie,Volunteers,Arlington,TX,#E8864A,#26262B,
Bowie,Bulldawgs,Austin,,,,
Bowie,Bulldogs,Austin,TX,#020202,#FDFDFD,
Bowie,Jackrabbits,Bowie,TX,#5A1E2C,#FFFFFF,
Bowie,Bears,El Paso,TX,,,
Bowlegs,,,OK,,,
Boyd,Yellow Jackets,Boyd,TX,#1F7A3A,#FFC72C,
Boyd,Broncos,McKinney,TX,,,
